file	predicted	confidence	energy	windows	alert
/data/home2/bling/project/qrs/audio-sentinel-phone-test/wav_samples/baby_cry_01.wav	baby_cry	0.996950865	0.053393226	1	yes
/data/home2/bling/project/qrs/audio-sentinel-phone-test/wav_samples/baby_cry_02.wav	baby_cry	0.999997973	0.094587669	1	yes
/data/home2/bling/project/qrs/audio-sentinel-phone-test/wav_samples/baby_cry_03.wav	baby_cry	1.000000000	0.005111804	1	yes
/data/home2/bling/project/qrs/audio-sentinel-phone-test/wav_samples/background_01.wav	background	1.000000000	0.000006901	1	no
/data/home2/bling/project/qrs/audio-sentinel-phone-test/wav_samples/background_02.wav	background	0.999999762	0.001048906	1	no
/data/home2/bling/project/qrs/audio-sentinel-phone-test/wav_samples/background_03.wav	background	0.986129344	0.003538841	1	no
/data/home2/bling/project/qrs/audio-sentinel-phone-test/wav_samples/cough_01.wav	cough	0.999999762	0.009619843	1	yes
/data/home2/bling/project/qrs/audio-sentinel-phone-test/wav_samples/cough_02.wav	cough	0.999979615	0.006756396	1	yes
/data/home2/bling/project/qrs/audio-sentinel-phone-test/wav_samples/cough_03.wav	cough	0.998957992	0.010056861	1	yes
/data/home2/bling/project/qrs/audio-sentinel-phone-test/wav_samples/dog_bark_01.wav	background	1.000000000	0.000000000	1	no
/data/home2/bling/project/qrs/audio-sentinel-phone-test/wav_samples/dog_bark_02.wav	dog_bark	0.999871731	0.010994595	1	yes
/data/home2/bling/project/qrs/audio-sentinel-phone-test/wav_samples/dog_bark_03.wav	dog_bark	0.999659896	0.013684872	1	yes
/data/home2/bling/project/qrs/audio-sentinel-phone-test/wav_samples/glass_break_01.wav	glass_break	0.997380435	0.102266736	1	yes
/data/home2/bling/project/qrs/audio-sentinel-phone-test/wav_samples/glass_break_02.wav	glass_break	0.999984741	0.009261161	1	yes
/data/home2/bling/project/qrs/audio-sentinel-phone-test/wav_samples/glass_break_03.wav	glass_break	1.000000000	0.008094715	1	yes
